"Time","__log__grafana_internal__","__logstream__grafana_internal__","@message"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Transaction updating `last_resolve_data`"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""original"":null,""content"":""{\""status\"":{\""status\"":\""APPROVED\"",\""reason\"":\""00\"",\""message\"":\""Approved\"",\""date\"":\""2026-09-11T15:22:25-05:00\""},\""internalReference\"":1599893053,\""paymentMethod\"":\""visa\"",\""authorization\"":\""543077\"",\""reference\"":\""REF-097375\"",\""receipt\"":\""376253630192\"",\""franchise\"":\""PS_VS\"",\""refunded\"":false}"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.729316-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update transaction trace: Transaction resolved"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""updated_placetopay_id"":1599893053,""state"":""APPROVED"",""last_response_date"":""2026-09-11T15:22:25-05:00"",""gateway"":""diners"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.729885-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Define session trace: Executed event"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":1599893053,""session_state"":""pending"",""session_remaining"":11000.0,""transaction_state"":""APPROVED"",""last_resolve_data"":{""status"":{""status"":""APPROVED"",""reason"":""00"",""message"":""Approved"",""date"":""2026-09-11T15:22:25-05:00""},""internalReference"":1599893053,""paymentMethod"":""visa"",""authorization"":""543077"",""reference"":""REF-097375"",""receipt"":""376253630192"",""franchise"":""PS_VS"",""refunded"":false},""last_response_date"":""2026-09-11T15:22:25-05:00"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.730234-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Define session trace: transaction is approved"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""session_remaining_evaluate"":0.0,""session_allow_partial"":false,""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.732321-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Calling updateSessionStateAction to update session 3858628"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""session_state"":""pending"",""new_status"":""finished"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.732617-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update session state trace: UpdateSessionStateAction start"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""session_state"":""pending"",""actual_session_state"":""pending"",""state_to_update"":""finished"",""forced"":false,""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.736041-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update transaction trace: Start Updating"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""state"":""PENDING"",""last_response_date"":""2026-09-11T15:22:25-05:00"",""information"":{""status"":{""status"":""APPROVED"",""reason"":""00"",""message"":""Approved"",""date"":""2026-09-11T15:22:25-05:00""},""reference"":""REF-097375"",""internalReference"":1599893053,""paymentMethod"":""visa"",""authorization"":""543077"",""receipt"":""376253630192"",""franchise"":""PS_VS"",""refunded"":false,""type"":""AUTH_ONLY""},""gateway"":""diners"",""force"":false,""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.715985-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""[GW_LIB] HTTP Res"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""response"":{""url"":""https://api-test.placetopay.com/rest/gateway/process"",""body"":{""status"":{""status"":""APPROVED"",""reason"":""00"",""message"":""Approved"",""date"":""2026-09-11T15:22:25-05:00""},""date"":""2026-09-11T15:22:24-05:00"",""transactionDate"":""2026-09-11T15:22:25-05:00"",""internalReference"":1599893053,""reference"":""REF-097375"",""paymentMethod"":""PS_VS"",""franchise"":""visa"",""franchiseName"":""Visa"",""issuerName"":""JPMORGAN CHASE BANK, N.A."",""amount"":{""currency"":""COP"",""total"":11000},""authorization"":""543077"",""receipt"":""376253630192"",""type"":""AUTH_ONLY"",""refunded"":false,""lastDigits"":""1111"",""provider"":""PAYSTUDIO"",""additional"":{""_wcTransactionId_"":""3035122"",""_session_"":""3858628"",""onTest"":true}},""status_code"":200,""headers"":{""date"":[""Fri, 11 Sep 2026 20:22:25 GMT""],""content-type"":[""application/json""]},""version"":""HTTP/1.1"",""message"":""OK""},""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.710960-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Request trace POST /api/v4/session/3858628/5b53023d8cdb6752c03606e126954754/process"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""process"",""body"":{""gateway"":""diners"",""instrument"":{""creditId"":null},""instrumentTokenId"":""a2b9158d-1236-42ba-92b8-8112465c082c""},""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:24.443989-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update session state trace: Updating"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""new_state"":""pending"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:24.581197-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update session state trace: UpdateSessionStateAction start"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""session_state"":""created"",""actual_session_state"":""created"",""state_to_update"":""pending"",""forced"":false,""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:24.580860-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:27.559,583550948756:/aws/lambda/vapor-webcheckout-test-d-queue,2026/09/11/[873]1424e956f006435bae74ba43d39fd65c,"{""message"":""JobWatcher: efa22e02-925d-4ca4-9bf3-5f6e196a1af8 - App\\Domain\\Transaction\\Jobs\\ProcessTransactionNotificationJob - processed"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":1599893053,""job"":""App\\Domain\\Transaction\\Jobs\\ProcessTransactionNotificationJob"",""id"":""efa22e02-925d-4ca4-9bf3-5f6e196a1af8"",""time"":1789158147,""aws_request_id"":""2fc9682d-9ec5-5831-ae2a-0b33fbfbf999""},""level"":100,""level_name"":""DEBUG"",""channel"":""test"",""datetime"":""2026-09-11T15:22:27.559279-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:32.359,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Request trace POST /api/v4/session/3858628/5b53023d8cdb6752c03606e126954754/return"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""App\\Http\\Controllers\\Api\\V4\\ReturnController"",""body"":[],""aws_request_id"":""3cd8c5fa-cb61-4d99-a02a-b9c8023460bb""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:32.282845-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:36.125,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]defa886cbbf64c68ae77ab808bee10f4,"{""message"":""Request trace POST /api/session/3858628"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""sessionInformation"",""body"":{""auth"":{""login"":""0123456789abcdef0123456789abcdef""},""browser"":""node"",""platform"":null,""version"":null},""aws_request_id"":""6f82a491-7fe3-443c-bcf8-453fcf062dda""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:36.084424-05:00"",""extra"":{""tenantId"":50}}
"
